Airline,Market,All_Detected_Brands,Identified_Basic_Economy_Brand,Confidence_Level,BE_Score
9B,MCO-ORH,ECONOMY|ECONOMY,ECONOMY|ECONOMY,High,75
9B,ORH-MCO,ECONOMY|ECONOMY,ECONOMY|ECONOMY,High,75
AA,ANC-ORD,"MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN",MAIN CABIN,High,75
AA,BOS-PHX,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,BOS-SYR,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,CLT-BOS,MAIN CABIN,MAIN CABIN,High,75
AA,CLT-EWR,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,CLT-JFK,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,CLT-LGA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DCA-ACK,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DCA-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DCA-JFK,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DCA-LAX,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,DCA-LGA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DCA-MCO,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DCA-MIA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DCA-MVY,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DCA-PBI,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DCA-RSW,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DFW-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DFW-EWR,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DFW-JFK,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DFW-LGA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DFW-SEA,"Basic Economy, MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|Unknown, MAIN CABIN|MAIN CABIN, MAIN CABIN|Unknown, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,DTW-LGA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,EWR-CLT,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,EWR-DFW,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,EWR-MIA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,EWR-ORD,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,EWR-PHX,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,FLL-ORD,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,FLL-PHL,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,HNL-LAX,"Main Cabin, Main Cabin Flexible, Main Plus",Main Cabin,High,75
AA,ILM-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JAX-MIA,MAIN CABIN,MAIN CABIN,High,75
AA,JFK-AUS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-BNA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-CLT,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-DCA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-DFW,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-LAS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-LAX,"BASIC ECONOMY, FLAGSHIP BUSINESS, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-MIA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-ORD,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-ORH,MAIN CABIN,MAIN CABIN,High,75
AA,JFK-PHX,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-PIT,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-RDU,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-SFO,"BASIC ECONOMY, FLAGSHIP BUSINESS, MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN, MAIN CABIN|MAIN CABIN|MAIN CABIN",BASIC ECONOMY,High,75
AA,LAS-JFK,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAS-LAX,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAS-MIA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAX-AUS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAX-BOS,"BASIC ECONOMY, FLAGSHIP BUSINESS, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAX-JFK,"BASIC ECONOMY, FLAGSHIP BUSINESS, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAX-KOA,"MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN, MAIN CABIN|MAIN CABIN|MAIN CABIN",MAIN CABIN,High,75
AA,LAX-LAS,"BASIC ECONOMY, Basic Economy, MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN, MAIN CABIN|MAIN CABIN|MAIN CABIN, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",BASIC ECONOMY,High,75
AA,LAX-MCO,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAX-MIA,"BASIC ECONOMY, FLAGSHIP BUSINESS, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAX-PDX,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,LAX-RDU,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAX-SEA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAX-SFO,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LGA-BNA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LGA-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LGA-CLT,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LGA-DCA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LGA-DFW,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LGA-DTW,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LGA-MIA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LGA-MSP,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LGA-ORD,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LGA-RDU,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LGA-RIC,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LGA-TPA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MCO-DCA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MCO-LAX,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-ATL,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-AUS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-BDL,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-BNA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-BWI,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-CHS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-DCA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-EWR,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-JAX,MAIN CABIN,MAIN CABIN,High,75
AA,MIA-JFK,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-LAS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-LAX,"BASIC ECONOMY, FLAGSHIP BUSINESS, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-LGA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-MSY,MAIN CABIN,MAIN CABIN,High,75
AA,MIA-ORD,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-PHL,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-PHX,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-RDU,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-RIC,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-SAN,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-SEA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-SFO,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MIA-TLH,MAIN CABIN,MAIN CABIN,High,75
AA,MSP-LGA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,MSY-MIA,MAIN CABIN,MAIN CABIN,High,75
AA,MVY-DCA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,ORD-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,ORD-EWR,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,ORD-FLL,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,ORD-JFK,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,ORD-LGA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,ORD-MIA,MAIN CABIN,MAIN CABIN,High,75
AA,ORD-SEA,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,ORD-SFO,"Basic Economy, MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,PBI-DCA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,PDX-LAX,"MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN",MAIN CABIN,High,75
AA,PDX-MIA,"Basic Economy, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN, MAIN CABIN|MAIN CABIN|MAIN CABIN, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,PDX-ORD,"MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN",MAIN CABIN,High,75
AA,PDX-PHX,"MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN, MAIN CABIN|MAIN CABIN|MAIN CABIN, Unknown|MAIN CABIN, Unknown|MAIN CABIN FLEXIBLE",MAIN CABIN,High,75
AA,PHL-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,PHL-FLL,MAIN CABIN,MAIN CABIN,High,75
AA,PHL-MIA,MAIN CABIN,MAIN CABIN,High,75
AA,PHL-SEA,"Basic Economy, MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|Unknown, MAIN CABIN|MAIN CABIN, MAIN CABIN|MAIN CABIN|MAIN CABIN, MAIN CABIN|Unknown, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,PHX-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,PHX-EWR,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,PHX-JFK,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,PHX-MIA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,PHX-SEA,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,PHX-SFO,"Basic Economy, MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|Unknown, MAIN CABIN|MAIN CABIN, MAIN CABIN|MAIN CABIN|MAIN CABIN, MAIN CABIN|Unknown, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",MAIN CABIN,High,75
AA,PIT-JFK,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,RSW-CLT,ECONOMY,ECONOMY,High,75
AA,SAN-DFW,Basic Economy,Basic Economy,High,75
AA,SAT-DFW,"Basic Economy, ECONOMY",Basic Economy,High,75
AA,SEA-DFW,"Basic Economy, ECONOMY, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SEA-LAX,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SEA-MIA,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SEA-ORD,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SEA-PHL,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SEA-PHX,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
AA,SFO-DFW,Basic Economy,Basic Economy,High,75
AA,SFO-JFK,"Basic Economy, Main Cabin, Main Cabin Flexible, Main Plus, Main Select",Basic Economy,High,75
